,Symptom,Population_density
1854,a,141.3970557
3858,b,141.3970557
9336,e,141.624781
3288,a,141.6306808
5563,b,141.6306808
2253,c,142.923315
4240,a,142.923315
4289,a,142.923315
2713,c,143.2792623
4842,a,143.2792623
4845,e,143.2792623
5525,b,144.4180164
1051,b,145.1638343
1052,a,145.1638343
1059,b,145.1638343
1060,a,145.1638343
1061,a,145.1638343
3033,b,147.3111404
4948,e,147.3111404
5012,a,147.3111404
5079,a,147.3111404
5148,a,147.3111404
5150,a,147.3111404
5203,c,147.3111404
5212,a,147.3111404
5239,a,147.3111404
6473,c,148.5415874
10596,a,149.3145413
536,b,150.3967625
543,b,150.3967625
552,a,150.3967625
564,e,150.3967625
8203,a,151.0545786
9860,a,152.1320646
856,a,154.8
875,a,154.8
417,e,154.9903788
1838,a,155.3128433
3807,a,155.3128433
3818,a,155.3128433
371,c,155.44
8275,e,155.8976551
532,a,157
920,b,157.5967426
569,a,157.8994433
572,a,157.8994433
3742,a,158.2984625
3752,b,158.2984625
3756,b,158.2984625
3770,a,158.2984625
2726,e,158.5688108
2753,e,158.5688108
4911,e,158.5688108
8110,c,158.5729393
9158,a,158.6093312
304,c,159.0363427
518,b,159.1652657
5939,b,159.4654204
8914,a,159.4654204
3117,e,161.0779556
998,a,161.1980097
6519,a,161.4681985
1249,a,161.5718385
1251,a,161.5718385
1253,e,161.5718385
1256,a,161.5718385
1259,a,161.5718385
1268,a,161.5718385
1274,a,161.5718385
1276,a,161.5718385
1294,c,161.5718385
1295,a,161.5718385
1296,e,161.5718385
8080,b,162.3148232
8181,c,162.7743047
10279,e,162.7743047
8136,a,163.2977805
9961,a,163.2977805
4889,b,163.5194965
8,e,163.6836874
10,a,163.6836874
18,a,163.6836874
6661,a,164.0608436
8423,b,164.0608436
7322,e,164.645982
1814,c,164.7265804
913,c,165
5490,b,165.7041276
322,a,165.9723751
362,b,166.31
565,e,167.1289395
9202,b,168.3709356
9572,b,168.3709356
403,a,168.7864555
410,a,168.7864555
7870,e,168.9903107
8180,b,168.9903107
8224,a,168.9903107
965,a,169.627675
3015,a,170.3745827
3061,c,170.3745827
3068,b,170.3745827
3071,b,170.3745827
5177,a,170.3745827
1802,a,170.7990271
1811,e,170.7990271
3835,b,170.7990271
1763,b,170.9001121
1770,b,170.9001121
1772,a,170.9001121
1779,a,170.9001121
1788,a,170.9001121
2438,a,171.2605907
2439,b,171.2605907
4533,c,171.2605907
4544,a,171.2605907
3097,b,171.8597272
3098,e,171.8597272
3106,e,171.8597272
3122,a,171.8597272
5305,a,171.8597272
5306,a,171.8597272
307,a,172.3330459
3338,d,172.9549867
5603,a,172.9549867
503,a,173
10709,a,173.0821
9927,c,174.2115143
7034,a,175.1889977
10842,e,175.5668073
3811,b,177.2798148
3814,a,177.2798148
7372,c,179.8554898
3320,a,180.176698
5588,e,180.176698
5547,c,180.3635913
8408,e,181.3042513
10566,a,181.3042513
5770,e,182.8472712
8877,e,184.3759832
6221,e,186.445794
9283,e,186.445794
8836,a,186.8699452
751,b,187.3824084
323,a,187.53
324,a,187.53
326,a,187.53
335,e,187.53
337,e,187.53
348,a,187.53
351,a,187.53
365,b,187.53
379,c,187.53
383,a,187.53
384,a,187.53
393,a,187.53
7475,c,187.7211061
6326,e,188.2334719
7135,e,188.2334719
10787,c,189.2634726
3319,b,189.4970151
5592,e,189.4970151
1853,a,189.5566788
3853,e,189.5566788
3857,a,189.5566788
6181,a,189.5631962
2659,a,190.0485055
2704,a,190.0485055
2720,a,190.0485055
4790,a,190.0485055
4803,e,190.0485055
4824,b,190.0485055
4826,b,190.0485055
4850,c,190.0485055
4851,a,190.0485055
4868,c,190.0485055
9246,a,190.0587727
9960,d,190.5294251
3299,a,191.4482734
5568,e,191.4482734
5571,e,191.4482734
10214,a,191.474854
545,b,191.8108755
546,a,191.8108755
559,e,191.8108755
4542,b,192
4543,c,192
4551,b,192
4562,a,192
7946,d,192.9286727
3355,a,195.1375817
3356,e,195.1375817
5755,e,195.2195592
8504,e,195.6701839
3833,c,195.834766
9489,a,198.9403975
9928,e,199.0170217
2673,e,200.1700055
2690,a,200.1700055
2698,a,200.1700055
4836,a,200.1700055
901,a,201.1972829
2263,a,201.5133117
2279,e,201.5133117
2298,b,201.5133117
4365,b,201.5133117
4442,c,201.5133117
3048,a,202.1324498
3052,e,202.1324498
3054,c,202.1324498
3084,e,202.1324498
5003,b,202.1324498
5042,b,202.1324498
5256,c,202.1324498
555,e,202.2251812
7822,a,202.6828259
1858,b,202.965875
1860,a,202.965875
1861,a,202.965875
1873,b,202.965875
1875,e,202.965875
1876,a,202.965875
1877,a,202.965875
3863,c,202.965875
3866,b,202.965875
3870,b,202.965875
3872,a,202.965875
3873,b,202.965875
3874,a,202.965875
3875,e,202.965875
3876,c,202.965875
3877,b,202.965875
3878,a,202.965875
3879,e,202.965875
3880,b,202.965875
3881,c,202.965875
3882,b,202.965875
3883,a,202.965875
3884,b,202.965875
3885,b,202.965875
3886,a,202.965875
3887,b,202.965875
3888,b,202.965875
3889,e,202.965875
3891,c,202.965875
3892,e,202.965875
3894,a,202.965875
3898,e,202.965875
3899,a,202.965875
2,e,203.0551205
14,a,203.0551205
15,b,203.0551205
3842,a,203.9237349
3218,a,204.9483399
3266,c,204.9483399
1761,a,205.7486195
1785,b,205.7486195
3741,b,205.7486195
3744,a,205.7486195
3745,e,205.7486195
3748,b,205.7486195
3758,e,205.7486195
3766,d,205.7486195
3782,b,205.7486195
3783,b,205.7486195
2643,e,207.5583961
10378,a,209.8265684
1789,a,211.9683603
1792,e,211.9683603
1793,a,211.9683603
1794,a,211.9683603
1795,a,211.9683603
1796,a,211.9683603
1799,e,211.9683603
1800,a,211.9683603
3784,a,211.9683603
3785,a,211.9683603
3786,b,211.9683603
3788,b,211.9683603
3790,a,211.9683603
3791,a,211.9683603
3792,a,211.9683603
3794,a,211.9683603
8069,a,212
6057,a,212.3060487
9093,e,212.3060487
10990,b,213.3078998
3107,c,213.8053099
3112,a,213.8053099
3114,e,213.8053099
3130,a,213.8053099
5325,a,213.8053099
5328,a,213.8053099
5340,d,213.8053099
10569,c,215.1467102
3094,e,215.9345486
3101,e,215.9345486
3104,e,215.9345486
5318,b,215.9345486
5341,b,215.9345486
5599,c,217.5846333
730,b,219.693779
2427,b,219.8623751
2428,a,219.8623751
2430,a,219.8623751
2431,b,219.8623751
2440,a,219.8623751
2441,a,219.8623751
2442,a,219.8623751
2450,e,219.8623751
4536,a,219.8623751
4548,c,219.8623751
4554,b,219.8623751
4558,a,219.8623751
4560,e,219.8623751
9488,d,220
7839,b,220.0359569
8157,a,220.6660434
1382,a,221
3289,e,221.1980408
313,e,222
314,b,222
7748,b,222.1818788
5540,b,222.9420329
5550,c,222.9420329
5551,a,222.9420329
5553,a,222.9420329
5554,c,222.9420329
5555,a,222.9420329
818,a,223.1279322
8620,a,225.1404023
573,e,226.2860874
8862,a,227.0321721
10388,e,227.0321721
7813,b,227.5280016
4917,a,227.5967098
6690,e,228.3674868
7491,d,228.7319903
810,a,230.3234547
2745,e,230.6386271
2770,b,230.6386271
4903,c,230.6386271
7927,a,231.9062643
1762,b,234.5220115
1764,d,234.5220115
1769,c,234.5220115
1787,a,234.5220115
3743,a,234.5220115
3749,a,234.5220115
3755,a,234.5220115
3763,b,234.5220115
3772,a,234.5220115
3028,b,236.062014
3035,a,236.062014
3043,e,236.062014
3075,e,236.062014
4982,e,236.062014
5163,a,236.062014
5193,a,236.062014
5201,e,236.062014
5262,e,236.062014
1767,a,236.3959396
3740,a,236.3959396
3759,a,236.3959396
3765,a,236.3959396
3768,a,236.3959396
3771,e,236.3959396
507,a,236.3959729
2448,c,237.3556066
4523,a,237.3556066
4525,a,237.3556066
4530,b,237.3556066
4547,c,237.3556066
4559,b,237.3556066
4457,a,237.6719585
4469,a,237.6719585
4518,c,237.6719585
5693,c,239.9038251
1033,a,240
9527,a,240.0866788
9528,a,240.0866788
5777,a,242.7178972
6970,c,242.7178972
8564,a,242.7178972
1766,a,243.45742
3760,b,243.45742
3775,b,243.45742
8561,e,243.9497231
3212,a,244.5340529
3221,b,244.5340529
5453,a,244.5340529
5455,a,244.5340529
3243,a,245.6948177
5538,e,245.6948177
6568,b,246.1674698
9889,a,247.0362746
531,a,248.8572407
533,a,248.8572407
534,a,248.8572407
537,e,248.8572407
547,a,248.8572407
549,b,248.8572407
551,a,248.8572407
553,a,248.8572407
562,a,248.8572407
1265,a,249.2595168
1272,a,249.2595168
7829,e,250
9980,e,250
11272,b,250
6091,a,251.104525
10007,b,252.0315185
10198,e,252.0315185
7856,b,254.1841875
